"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Coal",39,"Aluminum.Coal",366.958813373695,2025,"IRA",-21.7548620776517,0
"Coal",39,"Aluminum.Coal",366.958813373695,2025,"Ref",-18.0254523154354,0
"Coal",39,"Aluminum.Coal",366.958813373695,2030,"IRA",-5.82711506074089,0
"Coal",39,"Aluminum.Coal",366.958813373695,2030,"Ref",-1.40684744154277,0
"Coal",39,"Aluminum.Coal",366.958813373695,2035,"IRA",-3.06863443089608,0
"Coal",39,"Aluminum.Coal",366.958813373695,2035,"Ref",-2.79738425183609,0
"Coal",9,"Cement.Coal",14357.2578133463,2025,"IRA",-21.7548620776517,0
"Coal",9,"Cement.Coal",14357.2578133463,2025,"Ref",-18.0254523154354,0
"Coal",9,"Cement.Coal",14357.2578133463,2030,"IRA",-5.82711506074089,0
"Coal",9,"Cement.Coal",14357.2578133463,2030,"Ref",-1.40684744154277,0
"Coal",9,"Cement.Coal",14357.2578133463,2035,"IRA",-3.06863443089608,0
"Coal",9,"Cement.Coal",14357.2578133463,2035,"Ref",-2.79738425183609,0
"Coal",40,"Cement.Coal",12925.6802721163,2025,"IRA",-21.7548620776517,0
"Coal",40,"Cement.Coal",12925.6802721163,2025,"Ref",-18.0254523154354,0
"Coal",40,"Cement.Coal",12925.6802721163,2030,"IRA",-5.82711506074089,0
"Coal",40,"Cement.Coal",12925.6802721163,2030,"Ref",-1.40684744154277,0
"Coal",40,"Cement.Coal",12925.6802721163,2035,"IRA",-3.06863443089608,0
"Coal",40,"Cement.Coal",12925.6802721163,2035,"Ref",-2.79738425183609,0
"Coal",78,"Steel.Coal",52383.4692418104,2025,"IRA",-21.7548620776517,0
"Coal",78,"Steel.Coal",52383.4692418104,2025,"Ref",-18.0254523154354,0
"Coal",78,"Steel.Coal",52383.4692418104,2030,"IRA",-5.82711506074089,0
"Coal",78,"Steel.Coal",52383.4692418104,2030,"Ref",-1.40684744154277,0
"Coal",78,"Steel.Coal",52383.4692418104,2035,"IRA",-3.06863443089608,0
"Coal",78,"Steel.Coal",52383.4692418104,2035,"Ref",-2.79738425183609,0
"Coal",85,"Copper.Coal",458.527913404398,2025,"IRA",-21.7548620776517,0
"Coal",85,"Copper.Coal",458.527913404398,2025,"Ref",-18.0254523154354,0
"Coal",85,"Copper.Coal",458.527913404398,2030,"IRA",-5.82711506074089,0
"Coal",85,"Copper.Coal",458.527913404398,2030,"Ref",-1.40684744154277,0
"Coal",85,"Copper.Coal",458.527913404398,2035,"IRA",-3.06863443089608,0
"Coal",85,"Copper.Coal",458.527913404398,2035,"Ref",-2.79738425183609,0
"Coal",5,"Steel.Coal",48763.468223406,2025,"IRA",-21.7548620776517,0
"Coal",5,"Steel.Coal",48763.468223406,2025,"Ref",-18.0254523154354,0
"Coal",5,"Steel.Coal",48763.468223406,2030,"IRA",-5.82711506074089,0
"Coal",5,"Steel.Coal",48763.468223406,2030,"Ref",-1.40684744154277,0
"Coal",5,"Steel.Coal",48763.468223406,2035,"IRA",-3.06863443089608,0
"Coal",5,"Steel.Coal",48763.468223406,2035,"Ref",-2.79738425183609,0
"Coal",90,"Steel.Coal",50142.0628933056,2025,"IRA",-21.7548620776517,0
"Coal",90,"Steel.Coal",50142.0628933056,2025,"Ref",-18.0254523154354,0
"Coal",90,"Steel.Coal",50142.0628933056,2030,"IRA",-5.82711506074089,0
"Coal",90,"Steel.Coal",50142.0628933056,2030,"Ref",-1.40684744154277,0
"Coal",90,"Steel.Coal",50142.0628933056,2035,"IRA",-3.06863443089608,0
"Coal",90,"Steel.Coal",50142.0628933056,2035,"Ref",-2.79738425183609,0
"Coal",9,"Steel.Coal",50848.5753061008,2025,"IRA",-21.7548620776517,0
"Coal",9,"Steel.Coal",50848.5753061008,2025,"Ref",-18.0254523154354,0
"Coal",9,"Steel.Coal",50848.5753061008,2030,"IRA",-5.82711506074089,0
"Coal",9,"Steel.Coal",50848.5753061008,2030,"Ref",-1.40684744154277,0
"Coal",9,"Steel.Coal",50848.5753061008,2035,"IRA",-3.06863443089608,0
"Coal",9,"Steel.Coal",50848.5753061008,2035,"Ref",-2.79738425183609,0
"Coal",78,"Copper.Coal",495.741053696781,2025,"IRA",-21.7548620776517,0
"Coal",78,"Copper.Coal",495.741053696781,2025,"Ref",-18.0254523154354,0
"Coal",78,"Copper.Coal",495.741053696781,2030,"IRA",-5.82711506074089,0
"Coal",78,"Copper.Coal",495.741053696781,2030,"Ref",-1.40684744154277,0
"Coal",78,"Copper.Coal",495.741053696781,2035,"IRA",-3.06863443089608,0
"Coal",78,"Copper.Coal",495.741053696781,2035,"Ref",-2.79738425183609,0
"Coal",96,"Steel.Coal",55621.099455794,2025,"IRA",-21.7548620776517,0
"Coal",96,"Steel.Coal",55621.099455794,2025,"Ref",-18.0254523154354,0
"Coal",96,"Steel.Coal",55621.099455794,2030,"IRA",-5.82711506074089,0
"Coal",96,"Steel.Coal",55621.099455794,2030,"Ref",-1.40684744154277,0
"Coal",96,"Steel.Coal",55621.099455794,2035,"IRA",-3.06863443089608,0
"Coal",96,"Steel.Coal",55621.099455794,2035,"Ref",-2.79738425183609,0
"Coal",84,"Copper.Coal",486.011615959517,2025,"IRA",-21.7548620776517,0
"Coal",84,"Copper.Coal",486.011615959517,2025,"Ref",-18.0254523154354,0
"Coal",84,"Copper.Coal",486.011615959517,2030,"IRA",-5.82711506074089,0
"Coal",84,"Copper.Coal",486.011615959517,2030,"Ref",-1.40684744154277,0
"Coal",84,"Copper.Coal",486.011615959517,2035,"IRA",-3.06863443089608,0
"Coal",84,"Copper.Coal",486.011615959517,2035,"Ref",-2.79738425183609,0
